Occupation,Skill,Category,Skill Subcategory,Definition,How Skill is Utilized,Proficiency Level,Level 1 Example,Level 2 Example,Level 3 Example,Label,Frequency in Role,Skill Specificity,5-Year Demand Growth,Wage Premium
Financial Analysts,Variance Analysis,Core Role-Specific Skills,Financial Analysis,Variance analysis is the process of comparing actual financial results to budgeted or expected figures in order to understand discrepancies or variances and their underlying causes.,"Financial and Investment Analysts utilize variance analysis to evaluate the performance of investments, assess the financial health of companies, and make informed recommendations to stakeholders based on the insights gained from analyzing discrepancies between expected and actual outcomes.",Level 2,"At Level 1 proficiency, an individual can understand the basic concept of variance analysis and identify variances between actual and budgeted numbers. They may require guidance in interpreting the implications of these variances.","At Level 2 proficiency, a person can conduct variance analysis independently, interpret the reasons behind variances, and make initial recommendations based on their analysis. They have the ability to communicate findings effectively to stakeholders.","At Level 3 proficiency, an individual is an expert in variance analysis, possessing advanced analytical skills to not only identify and explain variances comprehensively but also proactively suggest and implement strategies to optimize performance based on the insights gained.",Durable Skill,15.7%,30.8%, 11.7%,#N/A
First-Line Supervisors of Retail Sales Workers,Accountability,Foundational & Leadership Skills,Initiative and Leadership,"Accountability is the ability and willingness to take ownership of one's actions, decisions, and outcomes within a specific role or task. It involves being answerable for the results and consequences of one's actions.","First-Line Supervisors of Retail Sales Workers need to demonstrate accountability by overseeing the performance of retail sales workers, ensuring that tasks are completed efficiently, addressing any issues promptly, and taking responsibility for the overall success of the team.",Level 2,"At Level 1 proficiency, an individual shows a basic understanding of accountability by completing assigned tasks on time, accepting feedback positively, and acknowledging mistakes when they occur.","At Level 2 proficiency, an individual demonstrates intermediate accountability by actively seeking opportunities to improve processes, taking ownership of team performance outcomes, and consistently following through on commitments.","At Level 3 proficiency, an individual exhibits expert-level accountability by fostering a culture of accountability within the team, holding others accountable for their actions, taking calculated risks, and consistently delivering exceptional results.",Durable Skill,21.3%,13.2%, 9.8%,#N/A
First-Line Supervisors of Retail Sales Workers,Cash Handling,Baseline Applied Skills,Cash Management,"Cash handling involves the accurate and efficient management of physical currency, coins, checks, credit/debit card transactions, and any other forms of payment that occur in a retail environment.","First-Line Supervisors of Retail Sales Workers need to be proficient in cash handling to oversee and manage the financial transactions carried out by their team members. This includes maintaining cash registers, reconciling cash drawers, and ensuring compliance with company policies and procedures related to handling money.",Level 2,"At Level 1 proficiency, an individual demonstrates basic competency in cash handling by accurately counting and processing cash transactions, following established procedures for handling money, and maintaining a basic level of accountability for cash transactions.","At Level 2 proficiency, an individual shows an intermediate level of skill in cash handling by being able to handle more complex financial transactions, troubleshoot cash register discrepancies, train others in proper cash handling procedures, and implement strategies to minimize cash losses or errors.","At Level 3 proficiency, an individual exhibits expert-level mastery in cash handling by effectively managing large volumes of cash, identifying and addressing potential security risks related to handling money, implementing advanced cash management techniques to optimize efficiency, and providing strategic guidance on financial controls and cash handling policies.",Declining Skill,18.6%,42.4%, 0.1%,#N/A
First-Line Supervisors of Retail Sales Workers,Cash Register,Baseline Applied Skills,Cash Register Operation,"The skill of operating a cash register involves processing transactions, handling cash and credit card payments, issuing receipts, and providing accurate change to customers.","First-Line Supervisors of Retail Sales Workers use the cash register skill to oversee and assist employees in processing transactions, handle cash management responsibilities, troubleshoot any issues with transactions, and ensure accuracy and efficiency in financial transactions.",Level 2,"At Level 1 proficiency, an individual can effectively operate a basic cash register, handle routine transactions with guidance, and provide basic customer service at the point of sale.","At Level 2 proficiency, a person can manage more complex transactions, troubleshoot common cash register issues independently, handle multiple payment methods with ease, and provide excellent customer service during transactions.","At Level 3 proficiency, the individual can train and mentor others in cash register operations, manage high-volume transactions efficiently, resolve complex transaction discrepancies, and implement strategies to enhance customer experience at the point of sale.",High Growth Skill,23.8%,57.4%, 38.0%,#N/A
First-Line Supervisors of Retail Sales Workers,Coaching,Foundational & Leadership Skills,Initiative and Leadership,"Coaching involves providing guidance, support, feedback, and encouragement to help individuals or teams improve their performance, develop their skills, and achieve their goals.","First-Line Supervisors of Retail Sales Workers use coaching to train and develop retail sales staff, provide performance feedback, address skill gaps, motivate employees, resolve conflicts, and enhance overall team productivity.",Level 2,"At Level 1 proficiency, a worker in this role would be able to provide basic feedback and guidance to retail sales workers, focusing on simple skill development and task completion.","At Level 2 proficiency, a worker in this role would be skilled in identifying individual strengths and weaknesses, creating personalized development plans, offering constructive feedback, and implementing strategies to improve performance.","At Level 3 proficiency, a worker in this role would excel in coaching by effectively fostering employee growth, empowering individuals to take ownership of their development, using advanced coaching techniques, and achieving significant results in sales performance and team cohesion.",Declining Skill,28.6%,23.3%,- 12.5%,#N/A
First-Line Supervisors of Retail Sales Workers,Communication,Foundational & Leadership Skills,Communication,"Communication is the ability to convey information clearly and effectively through verbal, non-verbal, and written means.","First-Line Supervisors of Retail Sales Workers need strong communication skills to provide clear instructions to their team, effectively communicate with customers, address any issues or concerns raised by both employees and customers, as well as collaborate with upper management and other departments.",Level 2,"At Level 1 proficiency, an individual can communicate basic information clearly but may struggle with more complex messages or situations requiring active listening and empathy.","At Level 2 proficiency, an individual can communicate effectively in various situations, actively listen, provide feedback, handle difficult conversations, and adapt their communication style to different audiences.","At Level 3 proficiency, an individual excels in communication, demonstrating strong interpersonal skills, conflict resolution abilities, advanced negotiation techniques, and the capacity to inspire and motivate others through communication.",Durable Skill,63.8%,0.1%, 13.0%,2.1%
First-Line Supervisors of Retail Sales Workers,Customer Service,Baseline Applied Skills,Customer Service,"Customer Service involves providing assistance and support to customers before, during, and after a purchase. It encompasses understanding customer needs, resolving issues, and ensuring a positive experience.","First-Line Supervisors of Retail Sales Workers rely on strong customer service skills to oversee and support a team of retail sales workers. They interact with customers to address concerns, handle escalations, and ensure high levels of customer satisfaction.",Level 2,"At Level 1 proficiency, an individual demonstrates basic customer service skills by greeting customers, listening to their inquiries, and providing basic assistance such as directing them to products or services.","At Level 2 proficiency, an individual shows intermediate customer service skills by actively engaging with customers, resolving more complex issues, and utilizing empathy to understand and address customer concerns effectively.","At Level 3 proficiency, an individual exhibits expert customer service skills by anticipating customer needs, proactively resolving issues before they arise, personalizing interactions, and fostering long-term customer loyalty.",Declining Skill,100.0%,2.7%,- 0.5%,#N/A
First-Line Supervisors of Retail Sales Workers,General Mathematics,Foundational & Leadership Skills,Mathematics and Mathematical Modeling,"General Mathematics involves the basic understanding and application of mathematical concepts such as arithmetic, algebra, geometry, and statistics in various real-life situations.","First-Line Supervisors of Retail Sales Workers use General Mathematics to calculate sales totals, discounts, employee hours, inventory levels, and budgets, ensuring operational accuracy and efficiency.",Level 1,"At Level 1, the worker performs simple arithmetic calculations accurately with the help of tools like calculators or point-of-sale systems.","At Level 2, the worker efficiently handles moderately complex calculations, such as percentages, ratios, and averages, and applies these to solve routine business scenarios without significant reliance on external tools.","At Level 3, the worker demonstrates advanced mathematical reasoning, applies calculations to optimize operations, and uses mathematical insights for strategic decision-making and forecasting.",Declining Skill,9.3%,8.6%,- 13.5%,8.4%
First-Line Supervisors of Retail Sales Workers,Inventory Management,Core Role-Specific Skills,Inventory and Warehousing,"Inventory management involves overseeing the flow of goods from manufacturers to warehouses to retail stores, ensuring optimal levels are maintained to meet customer demand while minimizing excess or shortages.","First-Line Supervisors of Retail Sales Workers utilize inventory management to monitor stock levels, track inventory turnover rates, conduct audits, and reorder products to prevent stockouts or overstock situations.",Level 1,"At Level 1 proficiency, an individual can assist in basic inventory tracking, perform stock checks, and follow established procedures for receiving and storing goods.","At Level 2 proficiency, a person can analyze inventory data, identify trends, make recommendations for optimizing stock levels, and coordinate with vendors for efficient replenishment.","At Level 3 proficiency, a worker can develop and implement inventory management strategies, lead inventory control initiatives, conduct forecasting, and implement systems for continuous improvement in inventory operations.",Declining Skill,17.2%,19.3%,- 20.2%,3.4%
First-Line Supervisors of Retail Sales Workers,Leadership,Foundational & Leadership Skills,Initiative and Leadership,"Leadership involves the ability to guide, inspire, and influence a team towards achieving goals and objectives. It includes providing direction, making decisions, motivating others, and fostering a positive work environment.","First-Line Supervisors of Retail Sales Workers need strong leadership skills to effectively manage and supervise retail sales staff. They must lead by example, provide guidance and support, resolve conflicts, set expectations, and drive performance to meet sales targets and deliver excellent customer service.",Level 2,"At Level 1 proficiency, an individual demonstrates basic leadership abilities such as assigning tasks, giving instructions, and monitoring work performance of a small team.","At Level 2 proficiency, a person shows intermediate leadership skills including the ability to coach, mentor, delegate responsibilities, handle employee issues, and promote collaboration within the team.","At Level 3 proficiency, a professional exhibits expert leadership qualities like strategic planning, decision-making under pressure, inspiring and motivating the team, fostering innovation, and driving organizational change effectively.",Durable Skill,67.8%,5.1%, 6.8%,1.0%
First-Line Supervisors of Retail Sales Workers,Loss Prevention,Baseline Applied Skills,Retail Sales,"Loss Prevention involves implementing strategies and techniques to minimize theft, fraud, and other forms of shrinkage within a retail environment.","First-Line Supervisors of Retail Sales Workers use their knowledge of loss prevention to train and supervise staff on security protocols, monitor for suspicious behavior, and investigate incidents of theft or fraud.",Level 2,"At Level 1 proficiency, a worker demonstrates basic knowledge of loss prevention techniques and can follow established procedures to address simple security issues.","At Level 2 proficiency, a worker can analyze trends in shrinkage, identify vulnerabilities in security systems, and implement proactive measures to prevent losses effectively.","At Level 3 proficiency, a worker possesses advanced knowledge of loss prevention strategies, can develop and implement comprehensive security programs, and lead investigations into complex incidents of theft or fraud.",Declining Skill,17.6%,47.6%,- 10.0%,#N/A
First-Line Supervisors of Retail Sales Workers,Management,Foundational & Leadership Skills,Business Management,"Management involves overseeing, directing, and coordinating tasks, resources, and people to achieve goals efficiently and effectively within an organization.","First-Line Supervisors of Retail Sales Workers utilize management skills to lead and guide retail sales staff in fulfilling their duties, meeting sales targets, providing excellent customer service, and ensuring smooth operations within the retail environment.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of management principles such as organizing tasks, providing direction, and supervising employees in a retail setting with limited experience in handling complex management issues.","At Level 2 proficiency, an individual shows intermediate competency in managing retail sales workers, including delegating tasks, resolving conflicts, optimizing sales strategies, and handling day-to-day operational challenges effectively.","At Level 3 proficiency, an individual exhibits advanced expertise in management, capable of strategic planning, staff development, performance optimization, problem-solving, decision-making, and fostering a positive work culture within a retail sales team.",Declining Skill,80.1%,0.6%,- 4.7%,#N/A
First-Line Supervisors of Retail Sales Workers,Marketing,Specialization,Marketing Strategy and Techniques,"Marketing involves understanding customer needs and wants, identifying target markets, creating messaging and promotional strategies, and managing campaigns to drive sales and increase brand awareness.","First-Line Supervisors of Retail Sales Workers utilize marketing skills to analyze sales trends, strategize on product placement and promotions, train staff on effective selling techniques, and enhance customer engagement to boost overall sales performance.",Level 1,"At Level 1 proficiency, individuals demonstrate basic knowledge of marketing principles, such as understanding target markets and basic promotional strategies.","At Level 2 proficiency, individuals have a deeper understanding of marketing tactics, including market segmentation, consumer behavior analysis, and campaign planning and execution.","At Level 3 proficiency, individuals possess advanced marketing skills, such as developing comprehensive marketing strategies, conducting market research, analyzing competitors, and measuring campaign effectiveness.",Declining Skill,13.4%,8.7%,- 27.3%,8.5%
First-Line Supervisors of Retail Sales Workers,Mentorship,Foundational & Leadership Skills,Teaching,"Mentorship involves providing guidance, support, and knowledge sharing to individuals to help them develop professionally and personally.","First-Line Supervisors of Retail Sales Workers utilize mentorship skills to train and develop retail sales staff, provide feedback, offer coaching and support, and help employees improve their sales techniques and customer service skills.",Level 2,"At Level 1 proficiency, an individual can demonstrate basic mentorship skills by offering occasional guidance and support to new employees, answering basic questions, and providing limited assistance in skill development.","A Level 2 proficiency in mentorship involves actively engaging with employees to identify their strengths and areas for improvement, creating personalized development plans, regularly providing feedback and coaching, and fostering a supportive learning environment.","At Level 3 proficiency, a mentorship expert demonstrates exceptional skills in inspiring and motivating employees, offering strategic career guidance, establishing long-term professional relationships, promoting a culture of continuous learning and growth, and effectively resolving conflicts or challenges within the team.",High Growth Skill,10.4%,6.4%, 73.3%,5.9%
First-Line Supervisors of Retail Sales Workers,Merchandising,Core Role-Specific Skills,Merchandising,Merchandising involves the planning and promotion of products or services to maximize sales and profitability within a retail environment.,"First-Line Supervisors of Retail Sales Workers utilize merchandising skills to oversee the presentation of products, manage inventory levels, create attractive displays, and implement promotional strategies to drive sales.",Level 2,"At Level 1 proficiency, an individual understands basic merchandising concepts such as product placement, visual presentation, and customer appeal.","At Level 2 proficiency, a person can effectively analyze sales data, determine product performance, and make informed decisions on merchandising strategies to optimize sales.","At Level 3 proficiency, an individual demonstrates advanced skills in trend forecasting, market analysis, and strategic planning to develop innovative merchandising techniques that drive significant revenue.",Durable Skill,70.2%,100.0%, 1.7%,#N/A
First-Line Supervisors of Retail Sales Workers,Operations,Baseline Applied Skills,Business Operations,Operations involve managing and coordinating the various resources and processes within an organization to achieve efficient and effective productivity.,"First-Line Supervisors of Retail Sales Workers use operations skills to oversee and optimize the daily operations of a retail sales team, ensuring smooth workflow, addressing operational issues, and maintaining high productivity levels.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of operational processes and can follow established procedures with supervision.","At Level 2 proficiency, an individual can analyze operational data, identify areas for improvement, and implement minor operational changes independently.","At Level 3 proficiency, an individual has mastered operations management principles, can develop and execute comprehensive operational strategies, and handle complex operational challenges with strategic insight.",Declining Skill,50.0%,1.6%,- 9.3%,#N/A
First-Line Supervisors of Retail Sales Workers,Organizational Skills,Foundational & Leadership Skills,Personal Attributes,"Organizational skills refer to the ability to efficiently manage time, prioritize tasks, and maintain order in work processes. Individuals with strong organizational skills can structure their workload effectively, keep track of multiple responsibilities, and ensure that tasks are completed in a timely manner.","First-Line Supervisors of Retail Sales Workers require strong organizational skills to oversee the daily operations of a retail establishment. They need to schedule and coordinate tasks for sales staff, manage inventory levels, set up product displays, handle customer inquiries, and ensure the store runs smoothly. Effective organizational skills are crucial for maintaining an efficient and well-run retail environment.",Level 2,"At Level 1 proficiency, an individual is able to prioritize basic tasks, maintain a basic level of order in their work environment, and complete simple organizational processes. This includes basic time management and task prioritization skills.","At Level 2 proficiency, an individual can effectively manage more complex tasks, handle multiple responsibilities simultaneously, and create more detailed organizational systems. This includes advanced prioritization, scheduling, and coordination abilities.","At Level 3 proficiency, an individual excels in organizing intricate and extensive workloads, leading large teams, and implementing strategic organizational strategies. This includes the ability to streamline processes, optimize efficiencies, and adapt quickly to changing circumstances.",Durable Skill,18.7%,4.2%, 6.1%,#N/A
First-Line Supervisors of Retail Sales Workers,Performance Management,Foundational & Leadership Skills,Performance Management,"Performance Management involves setting clear goals and expectations, observing and guiding performance, providing constructive feedback, and supporting individuals to improve their effectiveness and achieve desired outcomes.","In the role of First-Line Supervisors of Retail Sales Workers, performance management is utilized to set clear sales targets, observe team performance, provide guidance and constructive feedback, and encourage team members to achieve sales goals.",Level 2,"At Level 1 proficiency, a supervisor can set basic performance goals for team members, observe their progress, and provide simple, actionable feedback on performance.","At Level 2 proficiency, a supervisor can set more challenging yet achievable goals, identify general performance patterns, provide detailed feedback to support skill development, and guide team members through improvement efforts.","At Level 3 proficiency, a supervisor can align individual goals with broader team objectives, support ongoing development through coaching, and implement tailored strategies to enhance overall team performance effectively.",High Value Skill,8.9%,16.8%, 26.9%,16.6%
First-Line Supervisors of Retail Sales Workers,Problem Solving,Foundational & Leadership Skills,Critical Thinking and Problem Solving,"Problem-solving involves identifying, analyzing, and resolving issues efficiently by applying critical thinking and decision-making strategies to find practical solutions.","First-Line Supervisors of Retail Sales Workers often need to solve various issues that arise in the day-to-day operations of the retail environment. This could include handling customer complaints, resolving conflicts among staff members, optimizing sales strategies, and addressing inventory management challenges.",Level 2,"At Level 1 proficiency, individuals can identify basic problems and follow predetermined guidelines or seek assistance from higher-level supervisors to resolve issues. They may rely on established procedures and simple troubleshooting techniques.","At Level 2 proficiency, individuals can independently identify complex problems, analyze potential solutions, and make informed decisions to address issues effectively. They can consider multiple factors, evaluate alternatives, and implement appropriate problem-solving strategies.","At Level 3 proficiency, individuals possess advanced problem-solving skills to tackle highly intricate and ambiguous challenges with creativity and innovation. They can anticipate potential problems, develop proactive solutions, and adapt quickly to changing circumstances to drive continuous improvement in retail operations.",High Value Skill,16.3%,0.9%, 17.0%,14.8%
First-Line Supervisors of Retail Sales Workers,Product Knowledge,Specialization,"Company, Product, and Service Knowledge","Product Knowledge refers to having a deep understanding of the products or services being offered by a company, including features, benefits, uses, and competitive advantages.","First-Line Supervisors of Retail Sales Workers need to have strong product knowledge to effectively train and guide their sales team. They use this skill to answer customer questions, make informed recommendations, and ensure staff members are equipped to sell products confidently.",Level 2,"At Level 1 proficiency, an individual is able to identify basic product features and benefits but may struggle with providing detailed information or addressing more complex inquiries.","At Level 2 proficiency, a person can demonstrate a comprehensive understanding of the products or services offered, including nuances and variations. They can effectively communicate benefits and advantages to both customers and team members.","At Level 3 proficiency, an individual possesses an expert-level knowledge of the products or services. They can articulate detailed technical specifications, address challenging customer queries, and contribute to product development or marketing strategies.",Declining Skill,16.6%,26.3%,- 20.0%,2.2%
First-Line Supervisors of Retail Sales Workers,Retail Management,Core Role-Specific Skills,Retail Sales,"Retail Management involves overseeing the day-to-day operations of a retail establishment, including managing staff, inventory, customer service, and sales performance to ensure the store meets its financial goals and provides a positive shopping experience for customers.","First-Line Supervisors of Retail Sales Workers utilize Retail Management skills to oversee and coordinate the activities of retail sales workers, ensuring efficient operations, maintaining inventory levels, implementing sales strategies, providing excellent customer service, and supervising staff to achieve sales targets and customer satisfaction.",Level 2,"At Level 1 proficiency, an individual with Retail Management skills would demonstrate basic knowledge of retail operations, staff supervision, customer service principles, and basic inventory management practices.","At Level 2 proficiency, a person would show a deeper understanding of retail management concepts, possess advanced skills in staff training and supervision, have experience in analyzing sales data and trends, and demonstrate effective problem-solving abilities to address operational challenges.","At Level 3 proficiency, an individual would exhibit expert-level mastery of Retail Management skills, showcasing strategic leadership in optimizing store performance, implementing innovative sales techniques, developing and executing comprehensive business plans, and effectively managing diverse teams to drive exceptional results.",Declining Skill,28.9%,78.5%, 12.2%,#N/A
First-Line Supervisors of Retail Sales Workers,Sales,Baseline Applied Skills,General Sales Practices,"Sales skills involve the ability to identify potential customers, understand their needs, recommend products or services that meet those needs, negotiate effectively, and close deals. It encompasses communication, persuasion, relationship-building, and problem-solving abilities.","First-Line Supervisors of Retail Sales Workers utilize sales skills to train and motivate their team to achieve sales targets, handle customer inquiries and complaints, monitor sales performance, analyze trends, and provide guidance on improving sales techniques.",Level 2,"At Level 1 proficiency, an individual can demonstrate basic sales skills such as engaging with customers, understanding product features, and assisting in sales transactions under the guidance of a more experienced sales professional.","At Level 2 proficiency, a person can independently handle customer interactions, apply different sales techniques based on customer preferences, identify upsell opportunities, and contribute to developing sales strategies within a team setting.","At Level 3 proficiency, an individual possesses advanced sales skills, including strategic sales planning, managing complex sales processes, negotiating high-value deals, mentoring junior sales staff, and achieving ambitious sales targets consistently.",Declining Skill,92.5%,29.8%,- 9.0%,#N/A
First-Line Supervisors of Retail Sales Workers,Scheduling,Baseline Applied Skills,Scheduling,"Scheduling involves planning and organizing activities, events, or tasks within a specified timeframe, ensuring efficient use of resources and meeting deadlines.","First-Line Supervisors of Retail Sales Workers utilize scheduling to create work schedules for retail staff, assign shifts, manage employee time-off requests, and ensure adequate coverage during peak hours.",Level 2,"At Level 1 proficiency, an individual can create basic work schedules using manual methods or simple scheduling tools, but may struggle with balancing staffing needs and maintaining optimal coverage.","At Level 2 proficiency, a supervisor can effectively create and adjust work schedules, prioritize tasks based on business needs, handle employee requests while ensuring adequate coverage, and anticipate scheduling challenges.","At Level 3 proficiency, a supervisor demonstrates mastery in scheduling by efficiently optimizing staff utilization, forecasting labor requirements based on sales trends, implementing advanced scheduling tools and techniques, and adapting quickly to unforeseen circumstances.",Durable Skill,27.2%,9.4%, 11.5%,4.7%
First-Line Supervisors of Retail Sales Workers,Selling Techniques,Baseline Applied Skills,General Sales Practices,"Selling techniques refer to the methods and strategies used to effectively persuade and influence potential customers to make a purchase. These techniques include understanding customer needs, building rapport, handling objections, and utilizing closing strategies to seal the deal. ","First-Line Supervisors of Retail Sales Workers often utilize selling techniques to train and coach their team members on effective sales strategies, handle customer inquiries or issues, and drive sales performance within the retail environment.",Level 2,"At Level 1 proficiency, an individual can demonstrate basic knowledge of various selling techniques such as upselling, cross-selling, building rapport with customers, and handling objections during a sales interaction.","At Level 2 proficiency, an individual can effectively apply advanced selling techniques in different sales scenarios, tailor their approach based on customer needs and behaviors, analyze sales data to identify trends, and coach team members on improving their sales techniques.","At Level 3 proficiency, an individual has mastered selling techniques to an expert level. They can consistently exceed sales targets, develop innovative strategies to drive sales growth, conduct advanced sales training sessions for their team, and adapt quickly to changing market dynamics.",Declining Skill,25.3%,35.4%,- 23.6%,#N/A
First-Line Supervisors of Retail Sales Workers,Stocking Merchandise,Core Role-Specific Skills,Merchandising,"Stocking merchandise involves unpacking items, organizing them on shelves or displays, and maintaining appropriate inventory levels.","First-Line Supervisors of Retail Sales Workers utilize stocking merchandise skills to ensure products are stocked according to planograms, maintain visual merchandising standards, and support sales goals by having products readily available for customers.",Level 2,"At Level 1 proficiency, an individual can assist with stocking tasks under supervision, follow basic stocking guidelines, and identify common merchandise categories.","At Level 2 proficiency, a person can independently stock merchandise, interpret more complex planograms, prioritize stocking based on sales trends, and troubleshoot basic stocking issues.","At Level 3 proficiency, an individual can lead stocking teams, create efficient stocking schedules, optimize inventory levels, analyze stocking data to inform merchandising decisions, and implement strategies to maximize sales through effective stocking.",Durable Skill,8.2%,26.9%, 13.7%,#N/A
First-Line Supervisors of Retail Sales Workers,Supervision,Foundational & Leadership Skills,Initiative and Leadership,"Supervision involves overseeing and guiding individuals or teams to ensure tasks are completed efficiently and effectively. It requires the ability to provide direction, support, and feedback to employees.","First-Line Supervisors of Retail Sales Workers utilize supervision skills to manage and lead a team of retail sales workers. They provide guidance on sales techniques, customer service, and store operations to ensure productivity and customer satisfaction.",Level 2,"At Level 1 proficiency, an individual can provide basic supervision by assigning tasks and monitoring completion. They may need guidance on handling challenging situations and supporting their team effectively.","At Level 2 proficiency, an individual can effectively delegate tasks, provide constructive feedback, and motivate team members. They can handle most supervisory responsibilities independently and address conflicts within the team.","At Level 3 proficiency, an individual demonstrates expert-level supervision skills. They excel in leading and developing their team, resolving complex issues, and optimizing performance. They are adept at strategic decision-making and inspiring high levels of productivity.",Declining Skill,18.2%,20.7%,- 8.9%,#N/A
First-Line Supervisors of Retail Sales Workers,Training And Development,Specialization,Employee Training,"Training and development involves designing, delivering, and evaluating learning programs to enhance the knowledge, skills, and abilities of individuals or groups within an organization.","First-Line Supervisors of Retail Sales Workers need to utilize training and development skills to onboard new employees, provide ongoing coaching and mentoring, conduct performance evaluations, identify training needs, and implement training programs to improve sales techniques, customer service skills, product knowledge, and overall job performance of retail sales workers.",Level 1,"At Level 1 proficiency, an individual can assist in delivering training sessions, follow pre-designed training materials, and provide basic guidance to new employees under supervision.","At Level 2 proficiency, an individual can independently design and deliver training sessions, assess training needs, develop training materials, conduct performance evaluations, and provide more advanced coaching and support to retail sales workers.","At Level 3 proficiency, an individual can strategically plan, implement, and evaluate comprehensive training programs, conduct in-depth training needs analysis, mentor and coach other supervisors on training techniques, and continuously improve the training and development processes to align with organizational goals.",Declining Skill,9.2%,9.0%,- 19.8%,#N/A
Product Managers,Agile Methodology,Core Role-Specific Skills,Agile Software Development,"Agile Methodology is a project management approach that emphasizes incremental development, flexibility, collaboration, and continual improvement. It involves breaking down projects into smaller units or iterations and adapting to changing requirements and feedback.","As a Product Manager, Agile Methodology is utilized to oversee the development of products in a dynamic environment. Product Managers work closely with cross-functional teams to prioritize tasks, gather feedback, and deliver value to customers incrementally.",Level 2,"At Level 1 proficiency, an individual understands the basic principles of Agile Methodology, such as iterative development and collaboration. They may have limited experience in applying Agile practices in real-world projects.","At Level 2 proficiency, a person can effectively implement Agile practices in product development. They possess a deeper understanding of Agile principles, such as Scrum or Kanban frameworks, and can adapt Agile processes to suit different project needs.","At Level 3 proficiency, an individual is an expert in Agile Methodology. They have extensive experience leading Agile teams, optimizing Agile workflows, and driving continuous improvement. They can mentor others on Agile best practices and lead organizational Agile transformations.",High Value Skill,51.9%,21.4%, 17.2%,2.1%
Product Managers,Communication,Foundational & Leadership Skills,Communication,"Communication involves the ability to convey information effectively through verbal, written, and non-verbal means. It encompasses active listening, clarity in expression, empathy, and adaptability in various communication styles.","As a Product Manager, communication is essential for articulating the product vision to cross-functional teams, gathering and understanding customer feedback, collaborating with developers and designers, presenting product updates to stakeholders, and aligning team members towards common goals.",Level 2,"At Level 1, a Product Manager demonstrates basic communication skills by being able to convey simple information clearly and listen attentively in team discussions. They may need guidance in structuring detailed messages and analyzing diverse viewpoints effectively.","At Level 2, a Product Manager exhibits advanced communication skills by synthesizing complex information into easily comprehensible messages for different stakeholder groups. They can lead meetings confidently, negotiate priorities effectively, and provide constructive feedback to team members.","At Level 3, a Product Manager displays expert communication skills by influencing strategic decisions through compelling storytelling, resolving conflicts diplomatically, and building strong relationships with internal and external partners. They excel in public speaking, written communication, and fostering a culture of open dialogue within the team.",Durable Skill,100.0%,0.0%, 7.5%,#N/A
Product Managers,Computer Science,Specialization,Computer Science,"Computer Science encompasses the study of computation, algorithms, data structures, programming languages, software development, and computer systems.","As a Product Manager, knowledge of Computer Science is utilized to understand technical requirements, collaborate effectively with engineering teams, and make informed decisions regarding product development, new features, and technical feasibility.",Level 1,"At Level 1 proficiency, a Product Manager with a basic understanding of Computer Science can effectively communicate with technical team members and grasp high-level technical concepts relevant to the product.","At Level 2 proficiency, a Product Manager can not only effectively communicate with technical teams but also translate complex technical requirements into actionable product development plans, while considering the impact on overall product strategy.","At Level 3 proficiency, a Product Manager possesses an in-depth understanding of Computer Science principles, algorithms, and software development methodologies. They can lead technical discussions, provide strategic input on technology choices, and drive innovation within the product development process.",High Value Skill,31.8%,12.0%,- 2.0%,14.0%
Product Managers,Decision Making,Foundational & Leadership Skills,Initiative and Leadership,"Decision making is the ability to assess information, analyze options, and choose a course of action that effectively addresses an issue or achieves a goal.","Product Managers need strong decision-making skills to navigate complex product development processes, prioritize features, set strategic directions, and make critical choices that impact the success of the product.",Level 2,"At Level 1 proficiency, a Product Manager can make simple decisions based on available information and guidelines, but may require guidance or approval for more complex decisions.","At Level 2 proficiency, a Product Manager can analyze data, evaluate various options, weigh risks and benefits, and make sound decisions independently, considering both short-term and long-term implications.","At Level 3 proficiency, a Product Manager excels in decision-making by demonstrating consistently strong judgment, quickly adapting to changing circumstances, effectively managing uncertainty, and leveraging insights to drive innovative product strategies.",High Value Skill,15.2%,1.5%, 56.5%,4.5%
Product Managers,Go-to-Market Strategy,Core Role-Specific Skills,Marketing Strategy and Techniques,"Go-to-Market Strategy involves the planning and execution of activities aimed at successfully launching a product or service into the market, ensuring maximum customer reach and profitability.","As a Product Manager, Go-to-Market Strategy is essential for developing product launch plans, defining target markets, setting pricing strategies, designing promotional campaigns, and coordinating cross-functional teams to bring the product to market effectively.",Level 2,"At Level 1 proficiency, an individual understands the basic concepts of Go-to-Market Strategy and can contribute to discussions and simple planning processes under supervision.","At Level 2 proficiency, a person can independently develop comprehensive Go-to-Market plans, analyze market trends, identify key customer segments, and make informed decisions to drive product success in the market.","At Level 3 proficiency, an individual is an expert in Go-to-Market Strategy, with a deep understanding of market dynamics, competitive landscape, customer behavior, and can create innovative strategies that result in successful product launches and market penetration.",High Value Skill,25.4%,22.6%, 17.1%,8.1%
